user_id,user_name,movie_id,movie_title,reple_score
1,mom0****,213746,장민호 드라마 최종회,10
2,bak0****,213746,장민호 드라마 최종회,10
3,you(youn****),213746,장민호 드라마 최종회,10
4,mama****,213746,장민호 드라마 최종회,10
5,redb****,171539,그린 북,10
6,매직아워(eilo****),171539,그린 북,10
7,코주부육포(ffsa****),171539,그린 북,10
8,hsgg****,171539,그린 북,10
9,ANNE(bfw1****),171539,그린 북,10
10,에프(pale****),171539,그린 북,9
11,하늘땅평화(ifor****),171539,그린 북,10
12,dyna****,171539,그린 북,8
13,dari****,171539,그린 북,10
14,천산흑협(alst****),171539,그린 북,10
15,가보트(elxm****),171539,그린 북,9
16,낭만오크(fish****),171539,그린 북,10
17,와따시(read****),171539,그린 북,10
18,아무끼나(luv1****),171539,그린 북,10
19,땅꼬마(jedi****),171539,그린 북,9
20,성 게(chlw****),171539,그린 북,10
21,ryu7****,171539,그린 북,9
22,blue(nymp****),174830,가버나움,10
23,wodu****,174830,가버나움,10
24,dm(dmfj****),174830,가버나움,10
25,yonccu(zzyo****),174830,가버나움,10
26,STRFKR(nesp****),174830,가버나움,9
27,포스트신하균(haes****),174830,가버나움,10
28,부엉이(ooko****),174830,가버나움,9
29,jjol****,174830,가버나움,8
30,Joondel(joon****),174830,가버나움,10
31,보리차(krs4****),174830,가버나움,7
32,soap****,174830,가버나움,10
33,바람여행(whdd****),174830,가버나움,10
34,곰탱이(dotn****),174830,가버나움,10
35,안지현(pree****),174830,가버나움,10
12,dyna****,174830,가버나움,8
36,베레타38(wand****),186114,밥정,6
37,bigg****,186114,밥정,10
38,amaz****,186114,밥정,10
39,mets****,186114,밥정,10
40,slee****,186114,밥정,10
41,ilik****,186114,밥정,10
42,audi****,186114,밥정,10
43,이관희(ohga****),186114,밥정,10
44,히히(aqua****),186114,밥정,10
45,than****,186114,밥정,10
7,코주부육포(ffsa****),192613,디지몬 어드벤처 라스트 에볼루션 : 인연,10
46,김태림(taer****),192613,디지몬 어드벤처 라스트 에볼루션 : 인연,10
47,dhwo****,192613,디지몬 어드벤처 라스트 에볼루션 : 인연,10
48,jsw9****,192613,디지몬 어드벤처 라스트 에볼루션 : 인연,10
49,wlwl****,192613,디지몬 어드벤처 라스트 에볼루션 : 인연,10
50,스마일조커(ehfn****),192613,디지몬 어드벤처 라스트 에볼루션 : 인연,10
51,가넷(csy_****),144906,베일리 어게인,10
52,박도근(pdg6****),144906,베일리 어게인,8
53,대통령(gisu****),144906,베일리 어게인,10
54,09yo****,144906,베일리 어게인,10
55,clau****,144906,베일리 어게인,10
56,매떡스(rose****),144906,베일리 어게인,10
57,zami****,144906,베일리 어게인,10
58,Ssiniiiii(kimy****),144906,베일리 어게인,10
59,euni****,144906,베일리 어게인,10
60,gyhdegvj(whib****),144906,베일리 어게인,10
61,Rachel(bsb1****),151196,원더,10
62,fina****,151196,원더,10
63,Rir(hsmi****),151196,원더,10
64,달(migo****),151196,원더,8
65,jass****,151196,원더,8
66,소보로(long****),151196,원더,10
67,aazz****,151196,원더,9
68,bb66****,151196,원더,10
69,썸데이(hjch****),151196,원더,10
70,동동이(ehdg****),151196,원더,8
71,namy****,151196,원더,9
72,Joon(nice****),151196,원더,9
73,iamk****,151196,원더,10
74,빵꾸똥꾸(amy5****),151196,원더,10
75,doto****,151196,원더,10
76,gunw****,169240,아일라,10
77,9999(sbtm****),169240,아일라,10
78,없음(jyk9****),169240,아일라,10
79,gemi****,169240,아일라,9
80,bubi****,169240,아일라,10
81,kids****,169240,아일라,10
82,curi****,169240,아일라,10
83,팬더달인(shan****),169240,아일라,10
84,황금(hosu****),169240,아일라,10
85,zerg****,196843,극장판 바이올렛 에버가든,10
86,안나(anna****),196843,극장판 바이올렛 에버가든,10
87,Dayflower(hkh9****),196843,극장판 바이올렛 에버가든,8
88,셰인(mari****),196843,극장판 바이올렛 에버가든,10
89,skdm****,196843,극장판 바이올렛 에버가든,10
90,tjdv****,196843,극장판 바이올렛 에버가든,10
91,bu98****,196843,극장판 바이올렛 에버가든,10
92,사이후이(la14****),175092,먼 훗날 우리,10
93,먹군(123q****),175092,먼 훗날 우리,9
94,dnle****,175092,먼 훗날 우리,10
95,용용(cywo****),175092,먼 훗날 우리,8
96,luvs****,175092,먼 훗날 우리,9
97,무쵸맨(neo2****),175092,먼 훗날 우리,10
