movie_id,user_name,user_id,movie_title,reple_score
213746,chae****,1,장민호 드라마 최종회,10
213746,mom0****,2,장민호 드라마 최종회,10
213746,kimh****,3,장민호 드라마 최종회,10
213746,bak0****,4,장민호 드라마 최종회,10
213746,you(youn****),5,장민호 드라마 최종회,10
213746,mama****,6,장민호 드라마 최종회,10
171539,redb****,7,그린 북,10
171539,매직아워(eilo****),8,그린 북,10
171539,dora****,9,그린 북,10
171539,닮은살걀(yubi****),10,그린 북,10
171539,골디락스(spri****),11,그린 북,8
171539,크리에이션(perf****),12,그린 북,10
171539,코주부육포(ffsa****),13,그린 북,10
171539,hsgg****,14,그린 북,10
171539,ekdn****,15,그린 북,10
171539,ANNE(bfw1****),16,그린 북,10
171539,에프(pale****),17,그린 북,9
171539,with****,18,그린 북,10
171539,까뮈(74st****),19,그린 북,9
171539,하늘땅평화(ifor****),20,그린 북,10
171539,dyna****,21,그린 북,8
171539,spad****,22,그린 북,8
171539,dari****,23,그린 북,10
171539,hyun****,24,그린 북,10
171539,천산흑협(alst****),25,그린 북,10
171539,마이티(lsbl****),26,그린 북,10
171539,가보트(elxm****),27,그린 북,9
171539,hell****,28,그린 북,10
171539,qmff****,29,그린 북,9
171539,낭만오크(fish****),30,그린 북,10
171539,kiki****,31,그린 북,10
171539,와따시(read****),32,그린 북,10
171539,아무끼나(luv1****),33,그린 북,10
171539,오모리찌개(kkon****),34,그린 북,10
171539,땅꼬마(jedi****),35,그린 북,9
171539,성 게(chlw****),36,그린 북,10
171539,ryu7****,37,그린 북,9
174830,얍씨(zksy****),38,가버나움,9
174830,blue(nymp****),39,가버나움,10
174830,wodu****,40,가버나움,10
174830,pon0****,41,가버나움,8
174830,dm(dmfj****),42,가버나움,10
174830,MEME(mj79****),43,가버나움,10
174830,yonccu(zzyo****),44,가버나움,10
174830,rmflrh(kgoe****),45,가버나움,10
174830,몽상가(nept****),46,가버나움,10
174830,flow****,47,가버나움,10
174830,kiss****,48,가버나움,10
174830,STRFKR(nesp****),49,가버나움,9
174830,누군가를(sagw****),50,가버나움,10
174830,포스트신하균(haes****),51,가버나움,10
174830,dong****,52,가버나움,9
174830,여행21(rlaw****),53,가버나움,9
174830,부엉이(ooko****),54,가버나움,9
174830,jjol****,55,가버나움,8
174830,Joondel(joon****),56,가버나움,10
174830,funn****,57,가버나움,10
174830,보리차(krs4****),58,가버나움,7
174830,soap****,59,가버나움,10
174830,safflower(rose****),60,가버나움,10
174830,bju(byun****),61,가버나움,10
174830,박군(pbc1****),62,가버나움,9
174830,바람여행(whdd****),63,가버나움,10
174830,Wony(wony****),64,가버나움,10
174830,곰탱이(dotn****),65,가버나움,10
174830,cool****,66,가버나움,10
174830,안지현(pree****),67,가버나움,10
174830,라즈알굴(dlwo****),68,가버나움,9
174830,dyna****,21,가버나움,8
186114,베레타38(wand****),69,밥정,6
186114,bigg****,70,밥정,10
186114,하이지(sarr****),71,밥정,10
186114,amaz****,72,밥정,10
186114,mets****,73,밥정,10
186114,pink****,74,밥정,10
186114,jina****,75,밥정,10
186114,daily2020(robo****),76,밥정,10
186114,초전동삼촌(whit****),77,밥정,10
186114,slee****,78,밥정,10
186114,ilik****,79,밥정,10
186114,kimc****,80,밥정,10
186114,audi****,81,밥정,10
186114,이관희(ohga****),82,밥정,10
186114,히히(aqua****),83,밥정,10
186114,chae****,1,밥정,10
186114,than****,84,밥정,10
192613,코주부육포(ffsa****),13,디지몬 어드벤처 라스트 에볼루션 : 인연,10
192613,김태림(taer****),85,디지몬 어드벤처 라스트 에볼루션 : 인연,10
192613,dhwo****,86,디지몬 어드벤처 라스트 에볼루션 : 인연,10
192613,jsw9****,87,디지몬 어드벤처 라스트 에볼루션 : 인연,10
192613,wlwl****,88,디지몬 어드벤처 라스트 에볼루션 : 인연,10
192613,wjdd****,89,디지몬 어드벤처 라스트 에볼루션 : 인연,10
192613,스마일조커(ehfn****),90,디지몬 어드벤처 라스트 에볼루션 : 인연,10
144906,가넷(csy_****),91,베일리 어게인,10
144906,king****,92,베일리 어게인,10
144906,박도근(pdg6****),93,베일리 어게인,8
144906,대통령(gisu****),94,베일리 어게인,10
144906,hong****,95,베일리 어게인,10
144906,마이티(lsbl****),26,베일리 어게인,10
144906,09yo****,96,베일리 어게인,10
144906,clau****,97,베일리 어게인,10
144906,happ****,98,베일리 어게인,10
144906,매떡스(rose****),99,베일리 어게인,10
144906,나가노 메이(ldy2****),100,베일리 어게인,7
144906,zami****,101,베일리 어게인,10
144906,Ssiniiiii(kimy****),102,베일리 어게인,10
144906,mina****,103,베일리 어게인,10
144906,shin****,104,베일리 어게인,10
144906,euni****,105,베일리 어게인,10
144906,ehdr****,106,베일리 어게인,10
144906,게한민국 소멸(esee****),107,베일리 어게인,8
