movie_title,21 그램,JFK,강철중: 공공의 적 1-1,거북이 달린다,공공의 적,그랜 토리노,그린 마일,끝까지 간다,나우 유 씨 미 2,나이트 크롤러,내부자들,내부자들: 디 오리지널,대부,대부 2,대부 3,더 콜,럭키 넘버 슬레븐,레드 드래곤,레옹,로드 오브 워,로스트 인 더스트,리플리,링컨 차를 타는 변호사,마더,메멘토,몬스터,무간도,무간도 3 - 종극무간,바람의 소리,범죄와의 전쟁 : 나쁜놈들 전성시대,범죄의 재구성,베스트 오퍼,보이 A,보이스,복수는 나의 것,부당거래,분노의 질주,블랙머니,비열한 거리,빠삐용,살인의 추억,세븐,세븐 데이즈,스워드피쉬,스카페이스,슬럼독 밀리어네어,시카리오: 암살자의 도시,시티 오브 갓,신세계,쏘우,쓰리 데이즈,아메리칸 갱스터,아메리칸 싸이코,아이리시맨,악마는 사라지지 않는다,암수살인,양들의 침묵,양자물리학,어 퓨 굿 맨,언터처블,엔드 오브 왓치,엘라의 계곡,엘리트 스쿼드,용의자 X의 헌신,우아한 세계,유주얼 서스펙트,이스턴 프라미스,이탈리안 잡,인비저블 게스트,작전,저수지의 개들,젠틀맨,종횡사해,추격자,친구,침묵의 목격자,칼리토,캐치 미 이프 유 캔,타짜,트레인스포팅,트리플 9,특별수사: 사형수의 편지,파고,펄프 픽션,프라미싱 영 우먼,프라이멀 피어,프리퀀시,플레이스 비욘드 더 파인즈,호텔 뭄바이,홀리데이,히트
21 그램,1.0,0.047706494715992497,-0.01727528449641614,0.057102617199633436,0.03545554993408058,0.036313211674657696,-0.015770500532567726,-0.0011703831851301745,-0.0005729768376092566,-0.01584247850123562,-0.011107537314616214,0.043202899733991,-0.0008502647479255108,-0.018120066087726937,-0.01459251694142361,-0.00965302813894211,0.007734621210215421,0.017761405360016386,-0.010384581423411005,0.030646714790304962,-0.016101993267975755,-0.01851499190642569,-0.019198500295951965,-0.016131231747528688,-0.003892229176129921,0.026254124252333654,0.014558437349758088,-0.018944284048095176,0.051985126497282895,-0.01631212346165247,-0.015303087317485479,-0.011759080916555071,-0.014122731968785869,0.0030510789484784846,-0.016971093408825175,0.018401741519982737,-0.0119825174495192,0.011033330334808916,-0.014587479789431904,-0.008586944394883077,-0.014818916119271615,-0.014789449776563457,0.04035441074677758,0.01434176221358447,0.0075927107084569154,0.001279880841204508,0.018498822973774857,-0.016233150824289302,0.08287407022840886,-0.01691269127844637,0.013125066229528044,0.007029448196010144,0.0237312332660567,-0.014416853171551012,-0.008172138614222795,-0.00974162600744955,-0.018876282794094233,-0.0057573790108903485,-0.019223951958118095,0.009272329732768005,-0.015433176306037464,-0.002358970433971586,-0.004189976189531226,0.050067557007934464,-0.01543033289160471,0.012103667285918555,0.027307874580934685,-0.019431986587591158,-0.013739741287550736,-0.008164110501019815,-0.006487614901745586,-0.013018447223600451,0.026518629523076064,-0.013739253959359926,0.002056865809497477,-0.012084481942233759,-0.016619852310489826,-0.01438848888126,-0.012872889527933333,0.00417832082613882,-0.006384750146909809,-0.012514356986809489,0.007918136068433558,-0.01835828898831319,-0.011044739586778792,-0.01736866501238947,0.05234712066394569,0.0224263910538003,-0.013003782678499734,-0.015682797286894565,-0.01738042398119028
JFK,0.047706494715992497,1.0,0.01945247267998334,0.039940612214045816,-0.021352012251185677,-0.01783691450978293,-0.019529726202635368,0.007784772290038861,-0.009962436087549572,-0.019618861611990557,-0.01375524905452644,0.0210794570168282,0.007829490096549858,0.013462663545912166,0.012951819474880595,-0.015341480197212268,-0.0031473174800952745,-0.007720682572464961,0.006058534027240645,0.027378297756927093,-0.019940237102230033,-0.02292842397930097,-0.011228638167068903,-0.01997644517939731,0.0005385404138539612,-0.0015359056532725014,0.0010457933899017124,-0.005301184027318468,0.038492000625263256,-0.02020045618284438,-0.018950895359873137,-0.014562101578241065,-0.021432892892079888,0.010524633934736903,0.01575094320398587,0.004216168447259003,0.012917974276034448,-0.009129890455939803,-0.021011722040177813,-0.015031508740578159,-0.018351311921364386,0.003973673341876387,0.015863935849793474,-0.003484260933686202,0.02841927548963911,-0.0023159295316684697,-0.018067373455921475,-0.005378131523870743,-0.016471035975610678,0.018779358570551418,8.352193141496333e-05,0.006987125667908851,0.008371098898073848,-0.01785340893667533,-0.015247628105460594,-0.012063744476662183,-0.02337583603836041,-0.012749384255160942,0.023234103214815928,-0.025029982036634757,-0.022547763956645577,-0.005559380707440974,0.06297902515025186,0.008532794162979512,-0.01910847255394595,0.014666207495643433,-0.004701976953238465,-0.003990951520128976,-0.017014893400927548,-0.014356993728422614,0.00010123931970287749,-0.01612166394689442,0.014656121568633178,0.017492750467870632,0.0029672994607255043,-0.014965068682832233,0.061191335736692144,-0.017818283429899502,-0.015941409557555568,0.031149064141397162,-0.012386507590823782,-0.015497413354110898,-0.0240183832076176,0.021761315403090065,-0.013677482186678514,-0.002218751660201378,0.03591489688021008,-0.019219708546730347,-0.01610350380352346,-0.019421117070569965,0.008402087879615279
강철중: 공공의 적 1-1,-0.01727528449641614,0.01945247267998334,1.0,0.04776352145020695,0.012476327009666027,-0.015627153409091248,0.003484630684245461,-0.013679944943929958,-0.008728220174123405,-0.017188340503294576,-0.01205115307568716,0.030196236385496667,-0.005606529224899957,-0.01965941540231595,-0.007560681852441084,-0.013440870865467091,0.02433933432025349,-0.0005920681005420233,-0.014944882684679597,0.0016168894200224995,-0.017469901761276718,-0.02008789125253141,0.0032916685809097532,-0.01750162412986408,-0.016689501627862507,-0.004067724042946918,0.003168897328681688,-0.02055365293911533,-0.0178292493329563,-0.0033240254780378766,0.038135778854145465,-0.0127580470936904,0.024508359188576467,-0.012384813028592415,0.020795671728444477,0.00391714491328497,-0.0012186627322052434,-0.002851133557140777,0.01703247691678745,-0.013169300830043978,0.010498304966212997,-0.01604585410017245,0.048226670787691064,-0.020442087113946596,0.0005795030933899466,0.018449953029309834,-0.01582906149716479,-0.020474919707103544,-0.014430489413197174,-0.0027085385141612187,0.06127271305919589,0.023176992863922777,-0.019159108041567587,-0.01564160439159145,-0.013358645823980008,-0.010569203856500932,-0.0010722447535115487,-0.011169901807713175,-0.020857079405178842,-0.021929093672493273,-0.019754390042583787,-0.0202594888668421,0.03326770454643915,0.010201147486443274,0.02618599883510856,-0.01876731955624861,0.01792668491858009,-0.021082787147031358,0.011373824509809975,0.010080563454504978,-0.021450021858965877,-0.014124400022759179,-0.0037189174981555042,0.08518096898798024,0.029048825276694102,0.012090051049417998,-0.020732012099901494,0.006747708129047634,0.0379355148874477,0.0037212024579036294,-0.01085198082989686,-0.009080054648019033,-0.021042818746365384,0.003281194500565533,-0.0119830205086259,0.00038160449524667105,0.018041190739608033,-0.016838637297557416,-0.014108489684329666,0.004885222524423407,-0.018856938670109197
거북이 달린다,0.057102617199633436,0.039940612214045816,0.04776352145020695,1.0,0.04828145902638775,0.009879456903963456,0.00919005625391071,-0.012788419823338521,-0.008159400081997477,-0.016068172446860516,-0.011265776691271576,-0.009844160576539567,-0.020180492644060334,-0.018378206833191923,-0.017651603363789896,-0.012564926256895667,0.007821683583208165,0.0027082046421391596,-0.01397092128408232,0.004937439874740444,-0.0163313842936787,-0.018778758814883195,0.006747942358898655,-0.016361039308296747,-0.015601843014295293,0.04701642496943954,-0.016187288362891013,0.007988123081491508,0.031116417532843853,-0.0009199614631277107,-0.01552109702831809,-0.01192660226548878,-0.01755389409620731,-0.011577691949225977,0.06693449469715483,0.012208902964534177,-0.017858391321960706,-0.007477531427069492,0.001782200104969554,-0.012311054502391922,-0.015030028266186123,-0.015000142142245673,0.060926855491181264,-0.019109871651523395,0.024741196854103698,-0.002202360148885974,0.012362576572459684,-0.019140564537123424,0.0132200533566945,-0.01715363161019245,0.02918770866705156,0.02357951685212484,0.0063568973368055655,-0.014622237479033514,-0.012488059840046929,-0.009880406439454054,0.01695294126492193,-0.010441956768684703,-0.019497818800834177,-0.020499969654745938,-0.018466991954571754,-0.01893917337367571,0.005114682700203522,0.020043125609940118,0.10329304735280244,-0.017544249076130482,0.027035213808166123,0.011166401389573014,0.01145787375875452,0.012871880254916973,-0.01139895532628466,-0.013203909663683589,0.0460151499504966,-0.0018809975121621579,0.06318206758350564,-0.012256638995195116,-0.0193809021602617,0.002419320770539526,0.01681210359887503,0.004502667175188033,-0.010144754773236305,-0.0078038791745833735,-0.019671453466948714,0.006597829764614044,0.031049671628548006,0.003024537839930049,-0.01272878990153225,0.012574860235364648,0.015416866482502678,0.031705569318312844,-0.01762802769197603
공공의 적,0.03545554993408058,-0.021352012251185677,0.012476327009666027,0.04828145902638775,1.0,0.007582952620753715,0.02345039099926272,-0.013653603095544637,-0.008711413275159827,-0.017155242953458737,-0.012027947598728833,0.020038887923834615,0.008607204577518773,-0.01962155959646332,0.0029963577062052755,-0.013414989373695344,-0.020290218038983614,-0.0021346513404561962,0.006419712343021575,-0.02085495096757702,0.006723915279760859,-0.0200492103815247,0.019417852372272722,-0.017467923326884585,-0.016657364632917723,0.02639281592068033,0.00642981390766965,0.00017719039603990554,0.0013617839447125817,0.02274424929992721,0.008774282810850543,-0.012733480434715361,-0.018741479094504025,-0.012360965062214145,0.023517592769427054,0.05172625012122521,-0.01906657666883792,-0.003216410392477954,0.02785242911755928,-0.013143942268498023,-0.016046864530268996,0.025127874127942835,0.020051600018048753,-0.002309545896584734,-0.0009634108068865789,0.016943116492789893,0.009910570151453394,-0.020435493581279385,0.01088053567687216,0.004317520066197599,-0.017252982465783214,0.005499874874854504,-0.019122215618294094,-0.01561148520813897,-0.013332922663223855,-0.010548851993486714,0.019498239361637533,-0.011148393251859748,-0.02081691739972459,0.0542031739002265,-0.019716351355324534,-0.020220477570650198,0.040285689493163315,-0.014554767957636222,0.050844574660005644,-0.0022831822269723896,-0.019793056125953654,-0.021042190522933407,-0.014878265410757291,0.01742194362487956,0.030404623192044608,-0.014097202339913364,0.022137853804838466,0.018543693723545914,0.024227449910738223,-0.013085845353650706,-0.0013543538504956088,-0.015580770551268422,-0.013939583212784934,-0.019790882365936666,0.025307039213801088,-0.0076015711211673675,-0.02100229908467903,0.013634679464206913,-0.011959946226475606,0.0009743366256610936,-0.01358993899190964,0.009997245998662342,-0.014081322638136643,0.021044083132787304,-0.018820628098575803
그랜 토리노,0.036313211674657696,-0.01783691450978293,-0.015627153409091248,0.009879456903963456,0.007582952620753715,1.0,-0.014265931841048175,-0.011405864154663652,-0.00033887074549690993,0.017639755499363648,-0.010047833924166171,-0.008779908683307035,0.0018991600707986996,0.0034100339382438713,0.010361396999389557,-0.011206532470725932,-0.016949919299812592,0.020301950904657633,-0.012460525419327542,-0.017421682469001522,0.014309273343286275,-0.001330551018173668,0.0042572810883462105,0.013636524558033412,-0.013915128252098978,0.00865667082675098,-0.014437281122297625,-0.017136923742494647,0.01375354044446605,-0.014755881781058999,-0.013843111712150014,-0.010637217666142888,-0.012698886191081437,-0.010326028033300889,-0.015351983365295361,-0.013543754762265707,-0.015927721192525942,-0.006669135737453277,-0.01534848934276294,-0.010980106783692163,-0.013405132378592784,-0.01337847724258041,-0.013860621856837613,-1.4933763272257443e-05,0.006327104635455999,-8.820991158657881e-05,0.04518230582849313,-0.017071278701343874,0.0393377676198825,0.031223853099819867,0.015568887580988275,-0.017358316478831293,0.005988884247026191,-0.013041427840734445,-0.011137976079807908,-0.008812236007111065,0.0044043371131304125,-0.009313077147743857,-0.00030699951553526706,0.01838528428362546,-0.01647052602970655,0.0022446051923309153,-0.017577857561572464,-0.012158673792240324,-0.013958217550656035,0.003464258808860625,0.027425540691830133,-0.01757809751328184,-0.01242891513284905,-0.010487391981173549,-0.002025496742451942,-0.011776435401313717,0.00783561698006362,-0.015092433664732,-0.01372543446517366,0.027807068641877167,0.005825892054213492,-0.013015769616940256,-0.011644764490739933,0.0022337868135916326,0.03894147517875826,-0.011320437384957412,0.00781866528230916,0.009069157857251608,-0.00999102735019276,0.010558112180347438,-0.011352680821846046,0.01479130256055054,-0.011763169912342405,-0.014186595835039428,-0.015722262167401812
그린 마일,-0.015770500532567726,-0.019529726202635368,0.003484630684245461,0.00919005625391071,0.02345039099926272,-0.014265931841048175,1.0,0.008486101470457974,-0.007967938295484379,-0.015691129898173155,-0.011001423220416844,-0.009613165582818831,0.0007573683560412048,-0.017946958913267797,-0.017237405324609364,-0.012270088008449113,-0.018558550746013112,-0.020106425630377487,-0.013643091110123011,-0.019075086580823197,0.02494457906549987,0.02019415776233816,-0.01901509047150676,-0.015977124586172915,-0.015235742969390653,0.019071919057602207,0.007801117228234006,-0.018763302838212217,0.0027967420967553902,-0.016156288180025808,-0.015156891702458144,-0.011646742403999676,-0.017141988822517298,-0.011306019330893674,0.00636426960348739,0.010988449778654173,-0.017439340966249255,-0.007302069810854173,0.00876349595979919,-0.012022173400202948,-0.014677345956914797,0.010637619960477362,0.03549549242314738,0.01711650906180721,-0.019012503354424663,-0.01665776193827519,0.008302421353374091,0.035966200362624136,-0.013173504669243014,-0.01675111856753372,-0.015780527838396303,-0.002779915919066613,0.0008062507539854376,-0.014279124053730118,-0.012195025275859597,-0.009648560930058442,-0.01869595122339487,-0.010196934380085797,0.002921156721716451,-0.020018934189623777,-0.018033660675848648,0.025787412069571643,0.022863906323735278,0.05016197484065888,0.005411907419398176,0.05135386877655616,0.007013647910549981,0.019466754434029322,-0.013608480850609036,-0.011482697518099244,-0.0009413657772011781,-0.012894077554979436,-0.01640991063946575,-0.016524780507413007,0.031595252394142244,-0.011969034762643325,-0.01892612581462978,-0.014251030737183076,-0.012749910421647713,-0.002902488369649353,-0.009906706282771037,-0.01239480306423163,-0.0004283769047009485,-0.018182905989195808,-0.01093922542070198,0.007113003056179291,-0.012430106563271323,-0.015371888001261847,-0.012879553105282085,-0.015532974172960791,-0.017214382860163517
끝까지 간다,-0.0011703831851301745,0.007784772290038861,-0.013679944943929958,-0.012788419823338521,-0.013653603095544637,-0.011405864154663652,0.008486101470457974,1.0,-0.0063705072198325845,-0.012545335141499891,-0.008795831927290143,-0.007685895457486143,-0.015756057160674443,-0.014348910231371281,-0.013781609620877355,-0.009810151804276038,-0.014837888689989975,0.011209394827996471,-0.010907892003522273,-0.015250868201493586,0.011162489546612376,-0.01466164392081403,0.012433492766580926,-0.012773992939435982,-0.012181245259017981,-0.013610040541290875,-0.012638335704708327,-0.01500159159948288,-0.013013118291462004,-0.012917237393125875,-0.012118202280187304,-0.009311775997846114,-0.013705322444329635,-0.009039361890621437,-0.01343906223478885,-0.01185614645429273,-0.013943060728466622,0.059693784849434994,-0.013436003582030728,0.03253343544426443,-0.011734796997549184,-0.011711463202610501,-0.012133530587846166,-0.014920162524534628,-0.015200831808034339,-0.01331817450872758,0.016720631799896798,0.007602234077173314,-0.01053244936064219,-0.013392814780609118,0.015316602020210505,-0.015195397877874611,-0.013983748538586374,-0.011416411561410407,-0.009750137825481477,-0.007714194661969969,-0.0149477427953694,-0.008152628908447998,-0.015223054905195205,-0.016005491013983648,-0.014418229819953774,-0.014786888680806727,-0.015387583226428293,-0.01064365234760468,-0.012218965451333419,0.011739626137178888,-0.014474322704042104,-0.015387793279154351,-0.01088022049052378,-0.009180619217854732,-0.01565582861019333,-0.010309042453758634,-0.013120013023289743,0.012266809057477634,-0.01201518810878653,-0.0095694544237445,-0.015131771441288475,0.024185116429282304,-0.01019377828758494,-0.014472733070598634,-0.007920586425088177,-0.009909863691318965,-0.015358621354073704,-0.014537554080627787,-0.008746103689263264,-0.013753891067226251,-0.009938089461546815,-0.01229009561356589,-0.01029742990001763,-0.012418886849362125,0.013280434810676705
나우 유 씨 미 2,-0.0005729768376092566,-0.009962436087549572,-0.008728220174123405,-0.008159400081997477,-0.008711413275159827,-0.00033887074549690993,-0.007967938295484379,-0.0063705072198325845,1.0,-0.008004304675346323,-0.005612007796130615,0.09669805049814958,-0.010052842795647526,-0.009155040336161052,-0.0029089221932334245,0.05099708958433267,-0.00946702343731534,-0.010256619996273902,0.06400040953639696,-0.009730516903011256,-0.008135422748858433,-0.009354573924089211,-0.009699911896143023,-0.00815019529209198,-0.0010910925457504512,-0.008683619043060756,-0.008063641858012472,-0.009571470863314146,-0.008302764526124173,-0.008241589602204441,-0.007731780942800591,-0.005941195776331127,0.05791405072507572,-0.005767387305892115,-0.008574529692901468,-0.007564581370310055,0.046875688284056645,-0.0037249064857674905,-0.008572578179586272,0.0021263709439582335,-0.007487156732944171,-0.007472269063399002,-0.007741560868428362,0.03312980296504171,-0.009698592164964328,-0.008497399653728291,-0.00044540115593659475,-0.009534806196531664,0.06895967277747853,-0.008545022413140646,-0.008049908042059758,-0.009695125152557528,-0.008922056090475415,-0.007284017159046603,-0.006220883930283097,-0.004921890384185928,-0.009537113691531483,0.08978365356394846,-0.009712771175608426,-0.010211989166446937,-0.009199268338101656,0.04448347235350249,-0.009817745239355597,-0.00679097332098115,-0.007796070904990588,-0.008739607156316605,-0.009235057301034699,-0.009817879259371661,-0.006941910977970632,-0.005857513768999493,-0.009988893937671973,-0.00657748205051926,0.05514114591670833,-0.00842956362817169,-0.00766605477411164,-0.00610560243473368,-0.009654529554424997,-0.007269686294000987,-0.006503940013276118,-0.009234043066639155,-0.0050535745947587534,0.03374813372987909,-0.009799266685560097,-0.009275400838893572,-0.005580279670604633,-0.00877540004566519,-0.0063408027799852365,0.06436566806993982,-0.006570072888695098,-0.007923626826207036,-0.008781341184795805
나이트 크롤러,-0.01584247850123562,-0.019618861611990557,-0.017188340503294576,-0.016068172446860516,-0.017155242953458737,0.017639755499363648,-0.015691129898173155,-0.012545335141499891,-0.008004304675346323,1.0,-0.011051634695583804,-0.009657040926514553,0.021536150801486405,-0.018028870431781495,3.6250549034776187e-05,0.023290297910559726,0.02022197900708447,0.001975535379711101,-0.013705359392758153,-0.019162146974462377,0.013969455596708764,-0.018421808646300976,-0.0035743700214265085,0.03965633164725314,0.04626325512141613,-0.017100508229103115,0.002958397867866554,0.013256553456605483,-0.016350497689871776,0.007669335424395131,-0.015226069105788522,-0.0116998991733811,0.02823775021559084,-0.011357621009830711,0.006516520302264918,-0.014896805736322563,-0.017518935671253528,-0.007335397107661985,-0.016881837282094015,-0.012077043670080126,-0.014744334670762818,0.013657897692046197,-0.015245328552552364,0.011012008655782436,0.0005861209756159716,0.025741200460449677,0.003355173833335323,0.03568294292282474,-0.013233629717548986,-0.016827572164229462,-0.015852551572580916,-0.019092450582108556,0.021209385937270616,-0.014344295247353485,-0.01225068445708837,-0.009692597821270594,-0.018781281209503686,-0.010243474096552218,-0.01912720060521499,-0.020110302387791632,0.08383513837868055,0.05760996880393402,-0.01933392430325473,0.018677518754243446,-0.015352674271448888,-0.017210764700133892,-0.018186446525286285,-0.01933418822666919,-0.013670591168937943,-0.011535105572014448,0.04935185605298678,-0.01295292727305509,-0.004193475152114601,-0.01660020107704873,-0.015096635642279858,0.013726720770666324,0.00019088453450222763,-0.014316073710408207,-0.012808102148089964,-0.018184449210164474,-0.0099519213723588,-0.012451374049075108,-0.019297534791039263,0.02520255740726815,0.01403242461687031,0.00018079082255073576,-0.012486838676427964,0.005851750036810494,0.013951306298207337,-0.015603868050173648,0.0044134311239986835
