Id,woman
213746,90
171539,66
174830,67
186114,80
192613,
144906,68
151196,71
169240,63
196843,32
175092,
157243,77
181710,33
196828,
179518,60
17421,47
10200,21
154667,64
10016,
187320,56
35939,50
18988,
69105,
156464,57
10002,55
10102,80
17159,54
106360,59
29217,
18847,61
22126,54
82432,
197647,67
35901,35
24452,45
32686,68
66463,
31162,
203288,
34324,57
11678,
147092,69
31796,45
92125,17
181700,50
10048,68
14450,59
136900,38
17170,64
163788,64
37886,
161850,63
134899,64
142632,74
12482,
18543,
30688,69
19079,58
130850,64
17541,
154573,72
19099,42
31795,43
189027,
51172,
73372,
19303,
17441,
39636,43
17135,
12270,
10038,
16210,
76667,
62586,30
182348,58
10114,74
189075,49
13008,
31013,68
87566,
73476,
34227,
144318,72
35187,57
25915,40
189111,59
16466,
18782,
75470,
34181,
52120,
152655,59
103535,
10001,66
70457,
47528,
29657,
195975,
17153,
71081,
180220,
151728,70
10249,78
87307,
12297,
169561,
11608,
13500,
39584,
31268,
14448,75
10746,
10244,58
176354,
184517,70
178434,76
10012,
65021,
31726,
28788,
18052,
31794,44
18817,50
183132,71
89752,77
32112,
25266,
167787,79
16521,
150376,58
17869,
182525,75
70651,
10670,53
17111,
11104,
76309,62
51708,
30306,
10021,20
16531,71
183136,77
146534,50
146504,74
16216,
54900,
29571,70
15899,64
192066,66
38613,
144100,43
125724,72
196051,45
53951,
79762,
51083,
68555,60
70251,
70773,
58323,
19074,
17162,
75413,
18781,74
13967,
10101,75
194334,73
109193,67
31159,
10028,
59075,42
199860,55
151752,39
100654,49
187051,94
148338,97
10217,
10936,74
41375,
27578,
45774,
29059,68
185275,58
36718,
44529,
12393,
83893,
172980,25
71509,
10105,
167107,78
51462,
34010,
71932,
13172,
16218,
36798,
84148,
31788,
29953,
10020,41
30897,
31170,
12993,
130013,60
52515,49
35100,
17903,
175727,79
63403,
39436,
50672,
205968,59
164907,76
31148,
24542,
79435,
48602,
68502,50
158191,50
134841,62
201073,62
10185,
79749,
142305,33
10314,50
17486,
136990,68
10058,51
75216,
68031,50
190395,77
10173,
195687,16
