Id,woman
17230,
65991,
57794,
73096,
44044,
134980,75
118966,78
41635,60
19501,
32478,
10758,
24831,
39619,
122581,71
66317,
114248,76
142730,63
150632,60
43114,
130984,79
38455,
23848,
97857,39
156091,50
18015,
32240,
93757,
18429,
156675,83
81891,
189046,76
131637,77
149505,76
65902,
84034,
18572,
87311,
186348,53
47408,
136842,44
154980,78
68501,
129282,21
17692,
122602,50
132946,64
191560,
34519,
78851,
29712,
126961,55
151744,41
114293,61
65893,
17058,76
96911,
70118,
67366,
136898,36
123298,55
143379,25
81967,44
187526,60
149757,33
68217,
103797,53
99740,41
34969,
18563,
158611,78
101950,62
48690,
17025,
112082,
25670,81
74610,61
33048,
38547,
37938,
18933,89
47088,
17744,
97629,74
75724,
191914,50
140895,29
63483,
149512,49
92047,
39479,
137971,35
66034,50
136686,59
37686,
167651,55
49957,
72443,
137915,62
82142,
49380,40
62742,
35733,
104331,
109957,
33062,
92505,50
99799,
97816,41
40208,
18730,
134134,53
72406,
130943,61
36853,
161967,51
179430,52
118367,47
53902,
103241,72
74566,50
76103,
72524,50
120759,74
62799,
97747,
154293,52
136868,32
133424,60
62167,
164102,75
51690,71
19078,
110125,35
196215,53
68035,
153964,34
70992,
10453,22
85351,
44022,
19529,
38318,70
81028,
78790,
62175,
19334,
30343,
47587,
118395,63
22012,
10546,75
124238,60
37049,
37355,
100076,82
112666,75
152396,69
76014,78
39368,
136821,58
121047,76
114139,
95203,78
154029,59
180382,47
189028,31
184318,51
35388,61
158623,50
167599,73
143435,62
46874,
165514,73
132627,68
168779,85
50278,
36337,
167658,49
76580,
140695,49
84349,
129383,57
181711,21
144578,80
25633,
190320,47
38789,
32026,
126386,77
56362,
10107,
10501,6
124201,57
190720,31
46528,
28465,
93756,47
39769,
146526,57
137952,48
122489,57
167054,74
104478,40
44449,
17724,
129333,41
88461,
49783,
99094,64
144984,64
163832,75
94503,
68945,17
196389,
32900,
178067,63
19076,
173840,64
167605,33
66381,
11088,
118384,58
53152,44
31922,
185285,68
78294,81
134136,77
49483,
117786,38
68073,60
36742,
152680,30
66102,
140652,54
129049,44
29797,55
189118,49
67195,
18353,
164101,67
96910,40
160750,57
135807,75
51786,
65923,
189053,45
50721,
44006,
52996,
56065,
134133,62
16121,
129459,69
118323,45
152625,49
73074,
74453,75
129164,79
27564,67
69689,
101062,
168045,56
109971,73
74736,
136845,71
99769,63
145376,72
34190,
187787,67
34501,
38364,
51781,
125423,29
75241,
14425,
108734,76
170859,75
10068,
11757,
95808,57
148996,45
38384,
84843,
159892,56
56225,
34431,20
53350,
66725,72
12918,67
100015,70
191143,71
24522,
17116,
52245,
106522,61
38319,
142625,61
52551,
89755,67
68258,
97612,61
144968,42
185912,45
19459,
83546,
88494,
129096,88
19503,
133496,53
137347,68
134891,20
125405,50
53307,
47425,
38572,
94300,
65113,
86823,
54704,
125439,73
10636,
55405,
32667,33
37974,
175318,33
91606,
65840,
66584,
79315,
130344,57
173123,39
23847,
60022,
137884,79
71486,
110333,37
102028,
34532,69
140139,76
93028,42
39441,
167637,68
113165,56
171785,73
60480,
141104,50
37642,
28845,
149747,43
142803,57
150097,67
98483,56
151153,46
69099,
135874,41
66820,47
114142,
148863,61
52498,
110649,55
42842,
122197,77
26350,
10073,80
94767,61
49637,
54349,
63969,
124288,53
86843,71
158645,60
20308,46
101963,72
175039,45
147945,74
47414,
193804,40
18347,
134859,30
172816,49
66001,
137908,47
192150,54
193781,71
47428,
52972,
22080,
158626,61
72222,
95873,
150688,78
78845,62
113303,74
65751,
144213,
137976,38
167105,47
65553,
182407,65
125466,36
10066,
146459,51
40034,
155665,44
149576,78
51957,
76791,
60510,
78846,
118955,44
113983,62
134685,74
28789,28
125841,69
142292,
94183,75
39910,
115955,82
92067,
120157,56
103178,69
37708,
73588,40
33652,
34416,
98438,41
10095,
113163,41
92827,
76439,
127707,75
76444,
144975,68
172344,67
91700,
94170,
163844,78
130720,49
37733,
102431,50
128235,49
25970,
47370,49
63515,
85640,
174903,55
31606,
139438,67
103324,71
179398,77
113344,48
116234,49
162423,46
156200,72
39427,
45535,
146480,38
13244,
41334,
34076,
71083,
47404,
31310,
57897,
156083,48
74893,
113301,76
158621,18
99794,
159894,64
31371,
43210,
133457,72
154136,20
52553,59
42877,
64923,
121922,57
82473,41
40101,
72043,
63824,
169637,58
32723,
68086,
162249,42
51082,
39908,
32972,
66253,
105015,48
196809,51
210282,64
74058,
29223,
63562,
163831,31
16570,
187629,43
102817,53
66834,
37720,
62560,
174832,57
133223,75
86177,
127361,64
16201,
142384,54
107306,50
63113,47
153652,55
137972,65
172117,85
39840,
189141,60
140787,58
57829,
136893,61
136869,44
158266,76
43610,
125419,43
42931,
159806,41
68204,
60548,
118953,68
116327,70
53041,
105002,
194813,47
125468,50
134847,72
143390,75
32975,
49336,68
85633,
38823,
69866,
28910,
127866,62
84414,
106332,51
63485,
147054,69
73301,
90885,
165669,83
82227,
78672,
118347,42
70615,
164172,58
82262,
91603,
125426,67
47364,
41592,
79770,56
82389,
51386,
123275,59
66464,
108043,
25917,86
85141,
114282,42
91189,
39632,
58273,
193092,62
78300,
157500,80
54871,
42869,
12787,71
51777,
151192,68
69339,
54290,
38138,
175045,51
77835,
65242,
69023,
22749,
100990,46
36352,
92003,64
29892,
64089,
81464,62
35110,
175322,48
64161,
66751,52
43679,
149797,18
47401,
17920,
48227,
69467,
36720,
132933,51
98744,70
67901,
42690,
164108,50
80219,53
61845,
61103,
118652,64
102309,74
36839,
124844,72
91391,
37951,
35941,
127378,78
93002,
75426,35
76956,
164932,51
129671,72
65197,
125414,47
18564,
65513,
38906,
148647,58
28267,25
34486,
76692,
51132,
93793,62
38582,
66520,
17416,
39723,68
31939,
87163,86
190722,50
10024,
75173,
90922,52
87305,
160399,53
27404,
97693,
119430,37
114225,49
82924,
76452,
80626,
63017,
115642,53
159741,61
28099,
65877,
65836,
118954,43
109640,67
81834,
47701,18
100676,50
33837,
65473,
107053,80
90591,56
106335,49
66510,
17417,
101953,62
191637,33
68063,
26980,
72327,
66069,
151151,76
39563,
93217,
153729,11
17462,
103759,36
61503,
84917,56
75400,
39614,
72012,
89627,53
18002,
37716,
